observation_id,sku_adi,marka,uretici,mensei,bolge,urun_tipi,uzum_blend,vintage,hacim_ml,abv_pct,raf_fiyati,para_birimi,kdv_durumu,fiyat_katmani,kanal,kanal_tipi,magaza,sehir,gozlem_tarihi,gozlem_yontemi,promosyon_var_mi,normal_fiyat,ithalatci_distributor,foto_url,kaynak_url,status,evidence_id,supersedes,collecting_agent,notes
OBS-000,ORNEK SATIR - SILINMEZ FORMAT GOSTERIMI,,,,,,,,,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,UNKNOWN,,,,"kdv_durumu: KDV_DAHIL|KDV_HARIC|UNKNOWN — fiyat_katmani: L7|L8|UNKNOWN — kanal_tipi: CASH_CARRY|CHAIN_RETAIL|TEKEL|HORECA|ONLINE — gozlem_yontemi: MAGAZA_FOTO|MAGAZA_NOT|ONLINE|UCUNCU_TARAF"
OBS-501,Gold Country California Colombard-Chardonnay 2023,Gold Country,UNKNOWN,ABD,California,Beyaz Sarap,Colombard-Chardonnay,2023,750,UNKNOWN,599.90,TRY,KDV_DAHIL,L8,Metro Turkiye,CASH_CARRY,UNKNOWN,UNKNOWN,2026-08-09,MAGAZA_FOTO,UNKNOWN,UNKNOWN,UNKNOWN,PHOTO,PHOTO,FACT,EV-2026-08-09-501,,turkiye-pazar-kasifi,"Fiyat fotograftan okundu = FACT. kdv_durumu=KDV_DAHIL ESTIMATE'tir (EV-503/504/505/506). fiyat_katmani=L8 ama Metro cash&carry L8'i; zincir market L8 ile ayni degildir, HoReCa/bakkal icin ayni zamanda L7-proxy. Promosyon durumu dogrulanamadi."
OBS-502,Central Creek (beyaz sarap),Central Creek,UNKNOWN,Avustralya,UNKNOWN,Beyaz Sarap,UNKNOWN,UNKNOWN,750,UNKNOWN,649.90,TRY,KDV_DAHIL,L8,Metro Turkiye,CASH_CARRY,UNKNOWN,UNKNOWN,2026-08-09,MAGAZA_FOTO,UNKNOWN,UNKNOWN,UNKNOWN,PHOTO,PHOTO,FACT,EV-2026-08-09-502,,turkiye-pazar-kasifi,Hacim 750 ml DOGRULANMADI (charter'da '750 ml civari' yaziyor). Diger notlar OBS-501 ile ayni.
OBS-503,"Tesori Prosecco ""Frizzante""",Tesori,Tesori,Italya,UNKNOWN,Doğal Köpüklü,UNKNOWN,UNKNOWN,750,UNKNOWN,875.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,875.00,UNKNOWN,,https://iyisarap.plus/products/tesori-frizzante,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-504,La Piuma Chianti,MGM Mondo del Vino,MGM Mondo del Vino,Italya,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,948.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,948.00,UNKNOWN,,https://iyisarap.plus/products/la-piuma-chianti,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-505,"Santa Cristina ""Campogrande"" Orvieto Classico",Marchesi Antinori,Marchesi Antinori,Italya,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1138.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1138.00,UNKNOWN,,https://iyisarap.plus/products/santa-cristina-campogrande-orvieto-classico,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-506,Louis Bernard Côtes-du-Rhône,Louis Bernard,Louis Bernard,Fransa,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1145.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1145.00,UNKNOWN,,https://iyisarap.plus/products/louis-bernard-cotes-du-rhone,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-507,Casillero del Diablo Sauvignon Blanc Reserva,Concha y Toro,Concha y Toro,Sili,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1189.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1189.00,UNKNOWN,,https://iyisarap.plus/products/casillero-del-diablo-sauvignon-blanc-reserva,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-508,Alamos Malbec,Alamos,Alamos,Arjantin,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1360.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1360.00,UNKNOWN,,https://iyisarap.plus/products/alamos-malbec,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-509,Alamos Chardonnay,Alamos,Alamos,Arjantin,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1360.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1360.00,UNKNOWN,,https://iyisarap.plus/products/alamos-chardonnay,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
